ABA_Col_rna	ABA_g7g8_rna	Mock_Col_rna	Mock_g7g8_rna	ABA_Col_ribo	ABA_g7g8_ribo	Mock_Col_ribo	Mock_g7g8_ribo
AT1G07700	18.5864368554672	20.284750150218	17.7247306340355	18.8553362979165	2.89014905895284	6.58096928940149	3.44255300494742	4.05237993922147
AT1G33750	10.7659641799758	10.0461399248701	9.36054578514616	7.69829590333915	7.82758885032425	4.73554062736857	4.86588344328283	3.38646572804134
AT1G05900	6.75411189481446	6.47430866289803	5.3838197325731	5.75308365794137	6.24113117803937	4.21573150526649	4.272320922993	2.8789065558209
AT1G37130	319.125527285513	449.436721954838	415.046063486398	454.450131512575	134.039519581944	233.307010770332	154.404764353875	207.594582962544
AT1G48175	3.52987569263175	3.12526105988531	3.45405107012114	3.82241866650253	1.59720180961393	2.43512138207321	1.53073607307739	2.31966919051741
AT1G72140	14.5736746793329	11.4552883135842	15.9992583489496	10.987202012539	25.1890730087143	13.7278974356131	26.6376045952385	17.2997099528021
AT1G01710	10.0243971916186	12.0732939012946	10.8591747643681	9.62044276343553	10.3949069976038	15.2815224990928	11.397917639475	9.99015188839346
AT1G44000	86.8714360189035	70.1682022298477	82.6590396824891	79.0239186769813	9.14499404902549	19.3772794423191	18.0201587396749	19.3741548570963
AT1G73960	7.86696485811344	6.5263325641082	9.79284382262424	7.81993686847473	3.54201481384848	2.80440729301073	4.21204174589213	2.84348377928219
AT1G11360	16.4030921105222	14.7475906315943	15.8519278117843	12.0376524863594	13.8450239741695	11.3547122993067	12.2493734246781	15.2736469927758
AT1G15310	7.3352551480763	8.21416799987516	3.98310602525986	4.0038438695775	5.56014438042806	5.48739136981965	3.91334805318872	3.71965727280251
AT1G13300	7.88590008782622	7.51803292741462	10.3582986215904	10.8600822205931	11.3154440867152	7.16241664595213	10.1795947076446	17.924068882755
AT1G55530	14.0020052730064	13.7713725396402	11.631845146989	9.4560351663134	9.86177168043817	12.0154736411115	8.079651457197	10.0319110045655
AT1G74458	5.56649473086333	7.39147691240133	5.4331346449563	5.31430545471285	6.84449321908218	6.06260354215705	2.8073364469407	4.6963284165347
AT1G31480	4.01159339411782	3.87010526618916	3.41161465627649	3.57384310093511	7.21673444233472	5.31211022420643	4.12513481300949	4.53020078347436
AT1G17500	9.39722005188872	10.2867651727922	11.3646894700919	10.8215961228935	4.32242371255758	4.23000189676523	5.12639634070161	5.23735384083847
AT1G78110	6.35959767478766	4.90545076349395	6.6720570018968	4.70187141670456	5.01746976675427	3.90533718756879	4.74341956784497	6.83233810410765
AT1G80080	19.9124406219432	15.1652190569112	19.2165726647316	16.4946214019867	18.2354688297866	17.8088685501144	17.4351560117879	18.6808071766959
AT1G23260	12.3350136221484	12.732581609837	10.2940271206389	10.3306888569317	23.3589709391373	27.221530203915	20.6908190169898	34.3563256708711
AT1G25400	7.20712149485085	4.99756586920066	10.4313582130532	13.010732093311	6.19697856167984	5.61500584297902	6.11014201089549	12.7499547589184
AT1G42470	3.73315019259424	3.87546676472066	3.38380359566297	3.81426274848486	6.42317991614186	4.29676601727226	4.03503545542011	4.07887465819945
AT1G56150	5.87259561255979	8.53153804484356	6.31838243482306	5.20548617211477	7.77638621787928	3.56999470623821	4.2834068155633	3.66027423601539
AT1G73370	4.3996820966353	4.13612957964579	3.29266465531756	2.98509623650986	6.56218511793285	5.73008892618683	6.49666734101444	6.90888298915758
AT1G01230	8.39845854115708	13.7629361266359	10.466090318223	11.5899093373711	13.658494162957	13.8633738691227	11.1551883366434	10.6889187330364
AT1G70700	14.540365275233	17.3356138482918	15.2032666702786	17.797904398829	7.22792105861692	8.71075835966825	8.51020436017333	11.1083969810269
AT1G12430	8.72494677320717	8.00868280170994	9.70849752809701	8.67394834732715	5.14243512042246	6.14171267060136	7.95801988685237	8.08259739240984
AT1G56320	26.248369419176	26.7136243601058	6.42684401193358	4.90955400093639	24.4536314389809	18.1657590007627	1.79225754652351	2.80030168647585
AT1G36310	19.5767230445882	19.828337291211	31.192306819709	24.6759525690937	7.38542319690652	6.93227544165904	11.0300273915115	13.4904629954789
AT1G44830	5.81659852878488	3.88572759629623	6.71761563103199	5.18614591247624	2.75990431456083	2.26081683192758	4.06660038038593	4.9501270266516
AT1G01300	76.586420970274	60.7518929175097	81.6678925076256	73.8981277195104	80.2716642354132	57.2629959781902	92.6005495576016	73.7170350323112
AT1G48050	11.2333882993172	10.7041350751134	10.6847693636668	7.77036570845183	6.82896672775428	9.5786384462686	8.07198841714579	9.1441603706177
