sampleA	sampleB	baseMeanA	baseMeanB	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT1G70290	ABA-g7g8	ABA-Col0	NA	NA	752.625721985247	0.882146322922658	0.110810982570452	7.96082033079888	1.70902398097253e-15	6.48052399007112e-13
AT2G42750	ABA-g7g8	ABA-Col0	NA	NA	897.574992146052	0.766662128543521	0.0966057030832265	7.93599243186539	2.08818745420713e-15	7.70428295604907e-13
AT4G13340	ABA-g7g8	ABA-Col0	NA	NA	1786.28336613518	1.07864444876327	0.136041227827469	7.92880559804439	2.21263595138719e-15	7.94860351904907e-13
AT5G14120	ABA-g7g8	ABA-Col0	NA	NA	523.57442238506	0.99386395952167	0.12713840148395	7.81718149608114	5.40191906606007e-15	1.89081018386631e-12
AT5G54960	ABA-g7g8	ABA-Col0	NA	NA	521.607999421966	0.856958225228763	0.112440977183556	7.6214049957055	2.50929290687332e-14	8.56358936793192e-12
AT3G22840	ABA-g7g8	ABA-Col0	NA	NA	750.118675280266	-0.934851966110754	0.124394866723316	-7.51519729660623	5.68251715032522e-14	1.89200101509975e-11
AT2G15890	ABA-g7g8	ABA-Col0	NA	NA	1070.58738370453	0.793590828334105	0.105900824590237	7.49371717741342	6.69499078891635e-14	2.17603141094041e-11
AT3G27850	ABA-g7g8	ABA-Col0	NA	NA	3081.24407671204	-0.732425008535485	0.0981726470365993	-7.46058123768867	8.61416237708472e-14	2.73469606068799e-11
AT4G05150	ABA-g7g8	ABA-Col0	NA	NA	833.15842557409	0.737493484407173	0.0997619753112769	7.39253089271788	1.44060014580743e-13	4.42090796290484e-11
AT5G47500	ABA-g7g8	ABA-Col0	NA	NA	424.080120686444	-0.942586640759553	0.12753175666251	-7.39099550909456	1.45733542107331e-13	4.42090796290484e-11
AT1G33055	ABA-g7g8	ABA-Col0	NA	NA	193.123968332412	1.22504243991471	0.166045006391051	7.3777734515522	1.60958545480203e-13	4.77661979206576e-11
AT3G62550	ABA-g7g8	ABA-Col0	NA	NA	340.23820764069	0.941285614788434	0.128325255015138	7.33515483508988	2.21465298705488e-13	6.43238892048641e-11
AT1G69200	ABA-g7g8	ABA-Col0	NA	NA	375.80420736222	-1.01600196105166	0.138619871060676	-7.32941066297009	2.31167016296631e-13	6.57429362388607e-11
AT3G47470	ABA-g7g8	ABA-Col0	NA	NA	30399.6830466948	0.630018998718734	0.0867262273162887	7.26445757199917	3.74538156199795e-13	1.04343272862927e-10
