Geneid	ABA_Col_1	ABA_Col_2	ABA_Col_3	ABA_g7g8_1	ABA_g7g8_2	ABA_g7g8_3	Mock_Col_1	Mock_Col_2	Mock_Col_3	Mock_g7g8_1	Mock_g7g8_2	Mock_g7g8_3
AT5G35560	14	33	20	38	28	29	25	21	17	27	27	30
AT5G39130	0	0	0	0	0	0	0	0	0	0	0	0
AT5G47040	113	93	101	120	105	96	58	54	43	54	57	101
AT5G38747	8	1	2	2	1	4	4	6	4	0	0	3
AT5G26810	0	0	0	0	0	0	0	0	0	0	0	0
AT5G19990	21	45	35	40	68	73	60	63	75	19	78	69
AT5G46350	0	1	0	1	1	2	0	0	1	0	0	0
AT5G26140	0	0	1	3	3	0	0	0	0	2	0	0
AT5G39270	0	0	0	0	0	0	0	0	0	0	0	0
AT5G03340	0	0	0	0	0	0	0	0	0	0	0	0
AT5G15250	2	7	3	3	3	0	0	0	0	0	0	1
AT5G25520	83	100	77	104	103	94	106	99	115	66	81	76
AT5G49500	0	15	16	12	5	15	18	16	4	17	21	5
AT5G60690	6	11	1	8	8	11	9	19	21	7	12	23
AT5G47810	3	15	5	8	6	10	11	5	3	5	6	6
AT5G61230	42	84	79	103	61	73	77	91	99	39	92	54
AT5G51770	4	6	4	17	11	7	12	10	8	9	8	7
AT5G01770	32	53	28	28	33	29	49	30	32	24	40	52
AT5G37440	2	0	0	3	7	7	4	2	3	0	2	2
AT5G18320	0	0	0	1	0	1	0	0	0	0	1	1
AT5G10100	2	6	1	7	4	2	1	5	5	0	2	1
AT5G42310	82	67	61	75	72	77	61	55	61	68	83	64
AT5G44110	110	117	107	120	135	138	185	173	163	129	180	139
AT5G13020	130	126	92	88	111	106	105	139	133	61	137	102
AT5G22110	4	4	3	3	9	6	11	15	7	8	2	5
AT5G24190	0	0	0	0	0	0	0	0	1	0	0	0
AT5G60060	0	0	0	0	0	0	0	0	0	0	0	0
AT5G24880	3	2	5	2	10	8	2	8	5	3	13	1
AT5G35740	59	40	60	29	28	23	107	89	86	107	101	87
AT5G62500	8	21	18	32	22	27	21	24	29	8	19	12
AT5G25610	281	738	424	997	804	731	150	197	191	54	142	130
AT5G22790	3	11	12	17	21	10	14	16	35	4	10	20
AT5G51350	8	9	5	14	7	11	12	8	19	6	22	14
AT5G66270	0	6	2	1	3	5	0	1	6	3	6	5
AT5G53890	2	10	6	6	9	6	6	13	9	2	6	3
AT5G54000	1	2	0	0	1	1	0	0	0	0	0	0
AT5G03390	1	0	4	0	1	0	1	6	2	2	3	2
AT5G57530	11	29	14	35	51	39	44	46	53	27	27	32
AT5G22510	24	33	26	59	52	38	36	50	36	14	42	35
AT5G13825	0	0	0	0	0	0	0	0	0	0	0	0
AT5G51710	8	15	7	14	11	9	9	4	9	7	19	19
AT5G19830	0	4	2	1	7	1	2	4	6	3	3	6
AT5G39290	0	0	0	0	0	0	0	0	0	0	0	0
AT5G46990	0	0	0	0	0	0	0	0	0	0	0	0
AT5G15960	1026	3186	2176	3699	3283	3218	273	220	266	138	233	259
AT5G11040	33	31	51	69	68	49	37	66	50	33	47	31
AT5G65210	57	74	77	64	61	102	66	87	63	39	57	42
AT5G58430	30	75	52	113	78	71	86	69	83	62	116	92
AT5G67245	6	18	9	4	8	9	6	8	13	6	22	9
AT5G60370	15	44	25	28	43	24	35	18	28	23	40	32
AT5G47770	57	174	106	212	175	151	175	215	164	50	200	139
AT5G47030	160	302	224	284	233	231	339	374	355	161	347	234
AT5G19250	55	94	60	85	61	73	84	112	94	103	100	69
AT5G29000	9	16	17	22	11	35	20	13	27	19	25	29
AT5G25130	0	0	0	2	2	0	0	0	4	1	2	1
AT5G24120	21	29	26	50	29	32	22	33	12	24	17	21
AT5G41010	4	4	7	8	4	15	16	16	13	12	22	14
AT5G39570	81	192	125	196	194	171	193	191	188	119	173	201
AT5G09620	27	55	44	85	94	106	65	74	84	38	57	44
AT5G45780	6	6	7	2	1	0	6	4	8	1	4	7
AT5G56240	38	51	40	52	53	33	46	58	49	34	51	42
AT5G23240	5	7	4	6	15	14	10	7	3	2	2	7
AT5G55710	5	17	5	18	32	17	20	29	29	18	35	12
AT5G27930	5	7	10	14	10	16	8	8	14	5	21	15
AT5G40320	0	0	0	0	0	0	0	0	0	0	0	0
AT5G27020	0	0	0	0	0	0	0	0	0	0	0	0
AT5G18290	4	4	4	6	7	7	1	10	2	4	11	8
AT5G48870	0	0	0	1	2	0	0	1	0	0	0	0
AT5G51545	23	55	22	45	41	44	50	65	54	55	77	69
AT5G11520	261	220	248	240	221	217	175	161	143	177	132	141
AT5G46085	0	1	1	0	0	0	3	0	0	0	4	1
AT5G54190	10	29	21	5	8	5	17	9	7	1	6	6
AT5G06090	20	39	21	16	22	20	2	0	4	0	2	0
AT5G15160	0	0	1	0	0	0	1	1	1	0	0	2
AT5G46580	17	32	24	25	28	30	60	72	92	35	67	46
AT5G22555	0	0	0	0	0	0	0	2	0	0	0	2
AT5G38830	29	59	31	82	84	79	90	81	80	48	81	58
AT5G49840	27	58	44	50	45	39	43	46	38	22	39	36
AT5G11900	7	27	20	32	21	26	40	40	43	6	37	32
AT5G59150	24	32	28	72	36	39	31	34	30	22	54	21
AT5G19750	12	25	16	26	11	16	30	35	37	17	30	25
AT5G65830	7	10	8	26	19	21	0	15	21	12	14	7
AT5G48690	5	7	3	9	3	8	8	4	9	5	5	8
AT5G22150	0	0	0	0	1	0	0	0	0	0	0	0
AT5G65925	2	10	3	9	11	12	22	13	10	5	10	6
AT5G01570	2	2	4	1	3	1	5	1	1	1	1	4
AT5G50460	4	14	9	9	5	9	14	8	20	6	11	9
AT5G48790	50	76	94	115	95	76	118	112	75	82	100	94
AT5G20830	25	34	23	71	48	34	19	22	16	11	17	19
AT5G04960	17	19	9	23	22	30	26	29	32	18	37	19
AT5G47910	1	6	7	11	13	16	14	9	19	6	18	16
AT5G54470	3	3	0	1	3	7	0	4	7	3	6	6
AT5G23780	0	1	0	0	0	0	0	2	0	6	0	1
AT5G64040	509	900	736	922	837	870	821	887	876	733	1179	820
AT5G06000	0	5	0	2	1	2	2	2	1	1	2	0
AT5G02420	9	4	9	12	15	3	9	9	4	5	11	6
AT5G50480	0	0	0	0	0	0	0	0	0	0	0	0
AT5G43830	96	300	191	372	299	303	364	305	309	120	328	353
AT5G01270	37	76	61	76	57	72	76	77	71	51	72	62
AT5G55780	0	0	0	0	0	0	0	0	0	0	0	0
AT5G22080	18	20	18	19	29	6	17	23	19	10	25	15
AT5G02065	8	4	13	29	8	12	13	21	13	4	12	11
AT5G40380	24	49	32	50	43	49	35	43	27	28	33	31
AT5G05000	11	24	17	22	25	29	33	31	41	17	40	28
AT5G53130	1	1	3	2	1	1	1	3	3	0	3	0
AT5G55370	0	0	0	0	0	0	0	1	0	0	3	0
AT5G07660	2	2	2	2	3	2	1	2	4	2	6	1
AT5G17380	53	110	72	88	73	110	82	85	75	39	90	58
AT5G28300	11	22	30	22	17	23	17	29	34	17	20	9
AT5G65140	10	26	18	15	19	21	10	12	6	16	7	2
AT5G51160	0	1	4	0	2	2	0	2	0	0	1	2
AT5G53140	227	241	206	260	206	206	300	265	280	204	262	261
AT5G20090	66	77	96	127	85	90	94	106	116	68	106	117
AT5G43690	0	0	2	0	0	1	0	1	1	0	4	0
AT5G61940	1	0	1	0	0	0	0	0	1	2	5	0
AT5G50400	6	16	18	23	27	15	23	21	27	12	9	16
AT5G02120	15	45	36	66	48	41	73	57	46	28	61	51
AT5G19450	12	24	20	25	18	11	30	28	22	16	26	22
AT5G40160	28	72	28	38	52	29	83	64	76	32	61	35
AT5G57770	159	219	188	254	211	212	172	179	167	162	214	138
AT5G54560	0	0	0	0	1	0	0	0	0	0	0	0
AT5G34885	0	0	0	0	0	0	0	0	0	0	0	0
AT5G64080	10	8	11	6	8	11	6	3	10	3	9	2
AT5G44920	3	3	6	2	6	5	4	4	2	1	3	6
AT5G24230	0	0	0	0	0	0	0	0	1	1	0	0
AT5G22880	187	236	218	176	144	172	281	312	323	241	248	173
AT5G07900	2	12	5	7	4	9	16	18	22	9	6	16
AT5G65890	2	5	6	2	2	5	2	4	5	1	3	4
AT5G42530	100	212	127	179	156	122	125	124	109	39	102	118
AT5G60250	7	14	7	12	13	20	17	13	18	10	19	7
AT5G23460	7	12	6	2	10	8	3	13	7	7	8	3
AT5G49390	2	5	6	2	0	2	4	1	3	2	3	3
AT5G09690	14	8	13	14	10	15	12	16	14	9	14	13
AT5G59070	0	0	0	0	0	0	0	0	0	0	0	0
AT5G19610	0	0	0	0	0	0	0	0	0	0	0	0
AT5G10336	1	5	4	3	15	3	8	2	6	2	4	2
AT5G23210	21	40	39	42	35	35	58	73	49	38	60	67
AT5G28450	0	0	0	1	0	0	1	2	1	1	0	5
AT5G24760	19	37	14	42	45	26	33	54	22	20	37	13
AT5G26730	0	0	0	0	0	0	0	0	0	0	0	0
AT5G20635	0	2	3	0	0	0	2	4	0	0	0	0
AT5G54110	24	35	29	69	50	52	50	66	56	29	57	52
AT5G06770	20	43	18	27	9	16	11	33	42	16	22	9
AT5G64720	0	0	0	0	0	0	0	0	1	0	0	0
AT5G40400	4	9	5	7	8	9	17	12	10	13	10	12
AT5G04840	3	7	10	9	10	14	11	0	4	10	12	9
AT5G42810	0	0	0	0	0	0	0	0	0	0	0	0
AT5G47920	2	1	10	9	1	8	11	7	10	0	8	7
AT5G18230	16	50	22	47	35	41	46	46	46	25	37	35
AT5G23160	0	0	0	0	0	0	0	0	1	0	0	0
AT5G59550	3	6	1	5	0	5	5	9	6	4	2	2
AT5G24940	3	30	23	56	47	41	21	18	33	20	43	17
AT5G15380	0	0	0	0	0	0	0	0	0	0	0	0
AT5G65540	6	14	4	19	18	13	17	18	19	9	11	18
AT5G17550	7	37	19	36	32	40	28	39	39	10	45	26
AT5G46770	0	0	0	0	0	0	0	0	0	0	0	0
AT5G01180	1	1	3	2	4	3	5	7	7	0	3	2
AT5G26880	85	138	91	83	87	113	137	156	186	104	145	135
AT5G22200	0	0	0	0	0	0	0	0	0	0	0	0
AT5G47660	9	10	19	23	15	18	25	22	35	18	26	8
AT5G48320	0	0	0	1	0	0	1	0	0	1	0	2
AT5G18030	2	6	4	11	6	4	9	18	16	10	21	10
AT5G43500	15	28	12	36	36	34	19	25	20	34	41	73
