gene	Mock.Col0.rna	ABA.Col0.rna	Mock.g7g8.rna	ABA.g7g8.rna	Mock_Col0.ribo	ABA_Col0.ribo	Mock_g7g8.ribo	ABA_g7g8.ribo
AT1G26930	11.93192275	15.2793176	10.19750532	15.70403421	2.29638615	4.208453543	5.020260595	5.001047005
AT1G60815	0	0	0	0	0.444104821	0	0	0
AT1G24460	11.62967881	10.94952188	9.99743933	10.53828882	14.113539	17.10969308	13.70610164	13.37872008
AT1G22130	0	0	0	0	0.086023454	0	0	0
AT1G43080	0	0	0	0	0	0	0	0
AT1G06430	31.00114385	41.90575788	33.00919339	59.20699352	27.38088813	34.54590424	28.57145188	48.6171497
AT1G70000	13.76156531	13.40209004	11.4760992	9.532174065	10.50252975	10.72163211	10.6361166	8.957922922
AT1G76260	6.338157279	5.139239978	5.5152022	3.999679744	3.843527958	6.20427317	5.463315144	3.393190001
AT1G49330	0.107228003	0.174379149	0.237592033	0.036789911	0.186274145	0	0.112569188	0.868900733
AT1G05805	13.90312907	8.200697346	13.08124723	10.31221882	8.293787821	8.195988825	9.010951558	7.863654604
AT1G20740	0	0	0	0.040635185	0	0	0.097592243	0
AT1G52900	0	0	0	0	0	0	0	0
AT1G43810	0	0	0	0	1.126871988	0	0	0
AT1G21864	0	0	0	0	0	0	0	0
AT1G01305	0.066632903	0	0	0	0	0	0	0
AT1G16890	15.99085768	15.05977801	15.98791028	19.80630611	32.52607981	27.83951246	21.88446142	35.58420659
AT1G62940	0	0	0.023373795	0	0.181698722	0.320097326	0.102775031	0.269108584
AT1G20923	0	0	0	0	0	0	0	0
AT1G77390	0.585364525	1.002016836	0.601880707	0.852581233	0.517467502	0.585112987	0.863408057	0.851384295
AT1G30455	0	0.124499649	0.052143536	0.064149927	0	0	0	0
AT1G33355	0	0	0	0	0	0	0	0
AT1G23110	3.288404169	0.855155161	0.896167347	0.478546803	1.329194231	1.076364636	0.383984319	0
AT1G20970	21.77655415	26.13702452	21.00882693	26.88957631	28.26646478	26.42224849	32.65790373	23.28115777
AT1G02700	1.702137194	7.964182935	1.866548635	5.316695009	0.75222405	3.569179739	0.803591462	4.310160932
AT1G70340	1.904196533	2.019012719	1.780207325	1.907014632	1.754597862	0.968870772	1.708026048	1.51287028
AT1G09950	1.489447503	2.318499308	0.877707141	1.083148324	1.257418895	0.875578421	1.857249702	0.511614597
AT1G66045	0	0	0	0	0	0	0	0
AT1G77860	0.378634356	0.582127442	0.301939452	0.214073497	0.326948772	0.266109588	0.097332526	0.15460004
AT1G21160	6.739678172	6.491072811	6.159050445	6.488573251	0.935874566	2.875088652	1.549653193	1.182854805
AT1G06360	24.09751649	16.15552848	14.82601128	9.397953594	12.23367759	5.363519671	8.420292667	4.766157233
AT1G43890	24.61632418	23.87595785	19.53793788	29.93835568	44.1118461	55.61712483	55.40481299	56.22077512
AT1G75360	0.998168728	0.743188	0.649582237	0.603213694	0.635074021	0.536796945	0.238779111	0.782134996
AT1G29410	2.77713225	3.242503347	2.845289259	3.140346018	0.714500115	0	0.205840396	0.061455436
AT1G79060	4.908267617	3.643594695	4.048750054	4.001561722	2.817298746	2.081636034	4.084055247	3.061978269
AT1G01280	0	0.032573435	0	0	0.186756874	0.120845646	0.038324999	0
AT1G52950	0.175178933	0	0	0	0.240608637	0	0.035509918	0
AT1G22170	6.684496769	7.236033626	5.428161092	7.828124575	5.640738238	7.367105518	4.955796783	7.00558192
AT1G21520	1.295230232	2.851732329	0.966995885	5.432710482	1.696386829	2.574114144	0.503688041	2.019430638
AT1G10730	3.843533227	5.899006598	5.366064612	4.502211937	3.665648726	2.891033657	2.610478314	3.651168889
AT1G07880	2.904667366	1.91317936	2.160079702	1.998989538	0.529751466	0.398478197	0.935168801	0.703141058
AT1G79030	7.613111442	6.419231786	6.242652599	6.634969244	2.173453128	1.091280338	3.659835715	2.06303454
AT1G11930	34.70727068	34.40926535	38.42297034	44.90091537	39.64046033	39.39652681	50.10628104	48.09935576
AT1G49630	10.779455	6.85939202	7.993698242	5.358082202	11.36950344	5.239224733	8.695885261	4.779014142
AT1G09170	0.760293547	1.17334377	0.716402613	1.1183113	0.533312298	0.807793185	0.536419922	1.178235626
AT1G72240	6.358583523	4.816635381	4.116374626	5.060562312	3.984844387	4.728249852	3.261514978	1.457102367
AT1G66600	0	0.102689198	0.116974472	0	0	0	0.101610747	0
AT1G54140	12.57374486	10.23327508	11.60606695	9.839724933	11.72637656	11.59640682	9.025727927	10.93614833
AT1G74480	0	0	0	0	0	0	0	0
AT1G36623	0	0	0	0	0	0	0	0
AT1G15200	44.13761247	36.06202882	40.60120322	34.86717418	28.07268445	14.72247736	38.18499416	20.84327446
AT1G24095	2.023886	1.814598806	2.115602936	1.318159893	0.977065125	1.383982657	0.853454754	1.03231812
